,Number of Threads,Number of Files,File Size,Total File Size,Block Size,Fsync Periodicty,I/O Mode (sync/async),Access Mode (seq/rnd),Read/Write,File Operations (reads/s),File Operations (writes/s),File Operations (fsyncs/s),Read Throughput (MiB/s),Write Throughput (MiB/s),Total Time (s),Total Number of Events,Min Latency (ms),Avg Latency (ms),Max Latency (ms),95th Percentile Latency (ms),Total Execution Time across Threads (s),Avg Number of Events per Thread,Avg Execution Time per Thread (s)
95,19,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Sequential,Read,175549.59,0.0,0.0,2742.96,0.0,30.019,5270395.0,0.0,0.1,846.23,0.16,507154.2,277389.2105,26.6923
96,30,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Random,Read,2585.86,0.0,0.0,40.4,0.0,30.1429,77954.0,0.0,11.57,1426.01,80.03,901658.43,2598.4667,30.0553
97,15,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Random,Write,0.0,122.98,34.42,0.0,1.92,30.2136,4456.0,0.01,101.04,1683.92,539.71,450255.41,297.0667,30.017
98,6,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Random,Read,2031.97,0.0,0.0,31.75,0.0,30.0335,61034.0,0.0,2.95,383.72,18.28,180046.52,10172.3333,30.0078
99,18,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Sequential,Read,198331.06,0.0,0.0,3098.92,0.0,30.0068,5951929.0,0.0,0.08,983.97,0.1,466860.31,330662.7222,25.9367
100,12,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Sequential,Read,183776.15,0.0,0.0,2871.5,0.0,30.0028,5514392.0,0.0,0.06,776.34,0.05,334943.51,459532.6667,27.912
101,24,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Random,Write,0.0,122.53,39.6,0.0,1.91,31.0105,4548.0,0.01,160.43,3582.84,623.33,729632.73,189.5,30.4014
102,2,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Sequential,Write,0.0,2742.58,549.42,0.0,42.85,30.005,98747.0,0.02,0.61,326.4,0.12,59924.0,49373.5,29.962
103,1,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Random,Write,0.0,118.21,23.87,0.0,1.85,30.4499,4307.0,0.01,6.97,252.71,51.94,30004.36,4307.0,30.0044
104,13,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Random,Read,2293.13,0.0,0.0,35.83,0.0,30.0848,68996.0,0.0,5.66,1545.25,34.33,390397.85,5307.3846,30.0306
105,2,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Random,Write,0.0,122.65,25.66,0.0,1.92,30.1643,4434.0,0.01,13.54,491.47,77.19,60045.84,2217.0,30.0229
106,10,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Sequential,Write,0.0,2919.43,590.04,0.0,45.62,30.071,105345.0,0.01,2.85,359.19,22.28,300150.11,10534.5,30.015
107,26,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Random,Write,0.0,125.23,41.33,0.0,1.96,31.14,4667.0,0.01,169.88,3746.16,719.92,792839.26,179.5,30.4938
108,10,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Random,Write,0.0,122.66,30.94,0.0,1.92,30.374,4466.0,0.01,67.4,1024.29,369.77,300991.84,446.6,30.0992
109,31,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Random,Write,0.0,113.84,42.92,0.0,1.78,30.75,4201.0,0.01,223.61,4983.82,861.95,939374.02,135.5161,30.3024
110,26,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Sequential,Read,210264.7,0.0,0.0,3285.38,0.0,30.0552,6320248.0,0.0,0.11,569.37,0.12,670946.63,243086.4615,25.8056
111,25,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Sequential,Read,206577.54,0.0,0.0,3227.77,0.0,30.0049,6199028.0,0.0,0.11,1094.82,0.1,672955.39,247961.12,26.9182
112,18,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Random,Read,2463.11,0.0,0.0,38.49,0.0,30.0794,74097.0,0.0,7.3,1019.84,46.63,540565.27,4116.5,30.0314
113,12,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Random,Read,2237.66,0.0,0.0,34.96,0.0,30.0845,67326.0,0.0,5.35,1187.95,33.12,360424.4,5610.5,30.0354
114,29,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Sequential,Write,0.0,3744.46,768.1,0.0,58.51,30.0411,134997.0,0.01,6.45,1297.03,30.26,870189.91,4655.069,30.0065
115,27,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Random,Read,2651.52,0.0,0.0,41.43,0.0,30.1206,79874.0,0.0,10.16,1821.68,61.08,811425.26,2958.2963,30.0528
116,26,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Sequential,Write,0.0,4014.45,820.17,0.0,62.73,30.0381,144719.0,0.01,5.39,655.26,26.68,780193.27,5566.1154,30.0074
117,14,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Random,Write,0.0,121.46,33.32,0.0,1.9,30.4586,4435.0,0.01,95.0,1979.23,484.44,421320.74,316.7857,30.0943
118,22,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Sequential,Write,0.0,3805.4,775.47,0.0,59.46,30.0855,137393.0,0.01,4.81,531.94,26.68,660779.5,6245.1364,30.0354
119,28,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Sequential,Write,0.0,4006.56,819.44,0.0,62.6,30.1223,144826.0,0.01,5.81,778.04,28.67,841501.13,5172.3571,30.0536
120,14,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Random,Read,2259.97,0.0,0.0,35.31,0.0,30.0798,67987.0,0.0,6.18,1029.43,36.89,420417.11,4856.2143,30.0298
121,17,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Random,Write,0.0,124.81,35.8,0.0,1.95,30.7237,4595.0,0.01,111.85,2376.0,520.62,513958.7,270.2941,30.2329
122,25,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Random,Read,2620.82,0.0,0.0,40.95,0.0,30.1384,78996.0,0.0,9.51,1819.83,58.92,751288.29,3159.84,30.0515
123,13,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Sequential,Write,0.0,2808.12,570.04,0.0,43.88,30.0524,101273.0,0.01,3.85,260.36,28.16,389960.93,7790.2308,29.997
124,20,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Random,Write,0.0,127.31,38.32,0.0,1.99,30.6305,4674.0,0.01,129.22,2657.24,623.33,603973.77,233.7,30.1987
125,9,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Random,Read,2185.23,0.0,0.0,34.14,0.0,30.0914,65764.0,0.0,4.11,861.58,23.95,270473.47,7307.1111,30.0526
126,11,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Sequential,Write,0.0,2831.36,573.23,0.0,44.24,30.0528,102109.0,0.01,3.23,245.95,25.74,330179.47,9282.6364,30.0163
127,25,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Sequential,Write,0.0,3778.86,772.09,0.0,59.04,30.0852,136431.0,0.01,5.51,923.06,28.16,751091.59,5457.24,30.0437
